Image Name,Number of Matches,Matching Percentage,ROI Location
1.JPG,128,25.6,"(0, 0)"
10.jpg,79,15.8,"(0, 0)"
100.jpg,79,15.8,"(0, 0)"
101.jpg,90,18.0,"(0, 0)"
102.jpg,75,15.0,"(0, 0)"
103.jpg,117,23.400000000000002,"(0, 0)"
104.jpg,35,8.158508158508159,"(0, 0)"
105.jpg,107,21.4,"(0, 0)"
106.jpg,80,16.0,"(0, 0)"
107.jpg,75,15.0,"(0, 0)"
108.jpg,75,15.0,"(0, 0)"
109.jpg,122,24.4,"(0, 0)"
11.jpg,112,22.400000000000002,"(0, 0)"
110.jpg,97,19.400000000000002,"(0, 0)"
111.jpg,86,17.44421906693712,"(0, 0)"
112.jpg,42,8.4,"(0, 0)"
113.jpg,78,15.6,"(0, 0)"
114.jpg,105,21.0,"(0, 0)"
115.jpg,116,23.200000000000003,"(0, 0)"
116.jpg,104,20.8,"(0, 0)"
117.jpg,106,21.2,"(0, 0)"
118.jpg,88,17.599999999999998,"(0, 0)"
119.jpg,116,23.200000000000003,"(0, 0)"
12.jpg,104,20.8,"(0, 0)"
120.jpg,122,24.4,"(0, 0)"
121.jpg,116,23.200000000000003,"(0, 0)"
122.jpg,111,22.2,"(0, 0)"
123.jpg,100,20.0,"(0, 0)"
124.jpg,108,21.6,"(0, 0)"
125.jpg,71,14.2,"(0, 0)"
126.jpg,59,11.799999999999999,"(0, 0)"
127.jpg,67,13.4,"(0, 0)"
128.jpg,97,19.400000000000002,"(0, 0)"
129.jpg,120,24.0,"(0, 0)"
13.jpg,106,21.2,"(0, 0)"
130.jpg,137,27.400000000000002,"(0, 0)"
131.jpg,115,23.0,"(0, 0)"
132.jpg,113,22.6,"(0, 0)"
133.jpg,118,23.599999999999998,"(0, 0)"
134.jpg,105,21.0,"(0, 0)"
135.jpg,95,19.0,"(0, 0)"
136.jpg,106,21.2,"(0, 0)"
137.jpg,83,16.6,"(0, 0)"
138.jpg,108,21.6,"(0, 0)"
139.jpg,89,17.8,"(0, 0)"
14.jpg,105,21.0,"(0, 0)"
140.jpg,17,10.493827160493826,"(0, 0)"
141.jpg,11,17.741935483870968,"(0, 0)"
142.jpg,120,24.0,"(0, 0)"
143.jpg,125,25.0,"(0, 0)"
144.jpg,79,15.8,"(0, 0)"
145.jpg,84,16.8,"(0, 0)"
146.jpg,116,23.200000000000003,"(0, 0)"
147.jpg,94,18.8,"(0, 0)"
148.jpg,102,20.4,"(0, 0)"
149.jpg,104,20.8,"(0, 0)"
15.jpg,101,20.200000000000003,"(0, 0)"
150.jpg,107,21.4,"(0, 0)"
151.jpg,136,27.200000000000003,"(0, 0)"
152.jpg,90,18.0,"(0, 0)"
153.jpg,102,20.4,"(0, 0)"
154.jpg,102,20.4,"(0, 0)"
155.jpg,105,21.0,"(0, 0)"
156.jpg,6,10.344827586206897,"(0, 0)"
157.jpg,79,15.8,"(0, 0)"
159.jpg,132,26.400000000000002,"(0, 0)"
16.jpg,62,12.326043737574553,"(0, 0)"
160.jpg,47,10.561797752808989,"(0, 0)"
161.jpg,128,25.6,"(0, 0)"
162.jpg,139,27.800000000000004,"(0, 0)"
163.jpg,132,26.400000000000002,"(0, 0)"
